date,price,supply,capital,trade,wiki
2017-05-30,2239.2053428571426,16361962.5,36637793849.62821,148703191.10427397,35423
2017-05-31,2285.9339142857143,16364012.5,37407051147.54536,204425185.1255558,34254
2017-06-01,2399.2426714285716,16366137.5,39266335456.46732,198826825.00748628,31694
2017-06-02,2446.142414285714,16367962.5,40038367306.688034,122456001.78464411,28056
2017-06-03,2525.7651584699997,16370362.5,41347691234.02384,129006639.1283743,25776
2017-06-04,2516.173142857143,16372375.0,41195730259.78571,120095754.43380383,23455
2017-06-05,2698.3138125,16374425.0,44183337149.245316,168803116.2943173,28797
2017-06-06,2883.3136966371426,16376312.5,47218046131.66005,371264851.94856316,35757
2017-06-07,2664.9208625,16378375.0,43647073231.34844,205713695.0411865,33834
2017-06-08,2792.9991875,16380437.5,45750548628.39453,174094195.56920913,27396
2017-06-09,2827.4913,16382325.0,46320881411.2725,108367646.93500721,26320
2017-06-10,2845.3728571428574,16384087.5,46618837861.55357,154123952.09749928,23523
2017-06-11,2961.8296124999997,16385912.5,48532280870.3339,181774994.37694332,27303
2017-06-12,2657.6750625,16387750.0,43553314505.484375,393739719.8560203,35940
2017-06-13,2748.185085714286,16389512.5,45041413814.62786,204283558.77325466,32860
2017-06-14,2447.0415625,16391262.5,40110100599.34766,268520562.44632876,28795
2017-06-15,2442.48025,16393175.0,40040006172.293755,435834778.6454966,29145
2017-06-16,2464.9598142857144,16395025.0,40413077779.20965,195907758.54303885,28247
2017-06-17,2665.927,16396837.5,43712771805.8625,158849628.78788093,23079
2017-06-18,2507.389252144286,16398650.0,41117798759.675896,146939437.21946678,22615
2017-06-19,2617.2102625,16400537.5,42923655055.5161,146249310.0476668,25447
2017-06-20,2754.97825,16402262.5,45187876438.29063,204123502.96961603,28562
2017-06-21,2671.04325,16404012.5,43815826861.04063,208033200.75403142,32491
2017-06-22,2727.2880125,16405750.0,44743205311.07188,143429984.70501465,30385
2017-06-23,2710.4122857142856,16407750.0,44471767180.92857,91452068.35525821,25673
2017-06-24,2589.1648875,16409575.0,42487095408.79781,146373123.47503456,24171
2017-06-25,2512.3662857142854,16411100.0,41230694351.48571,135111001.58831695,22222
2017-06-26,2436.4510571428573,16412875.0,39989166644.50357,237329706.38785124,25687
2017-06-27,2517.9031142857143,16414512.5,41330152143.23179,239311708.3413396,35577
2017-06-28,2585.349185714286,16416475.0,42442320273.54893,157399624.66481197,45873
2017-06-29,2544.414475,16417975.0,41774133240.188126,107906654.0618434,34271
2017-06-30,2477.641375,16419900.0,40682623613.3625,103718383.04063688,26499
2017-07-01,2434.0778625,16421950.0,39972304954.08187,105511589.73927331,23015
2017-07-02,2501.191342857143,16424300.0,41080316972.48857,96748666.51122706,24879
2017-07-03,2561.225428571429,16426425.0,42071777410.52143,131455113.20711017,25546
2017-07-04,2599.7298375,16428337.5,42709239179.27016,130187106.93450896,25454
2017-07-05,2619.1875030042856,16430200.0,43033774511.861015,119861961.70348343,26835
2017-07-06,2609.96775,16431975.0,42886924818.806244,93522266.98794703,27578
2017-07-07,2491.201214285714,16433825.0,40939964795.358925,116912656.4443124,24291
